Total runs since 260408: 264

date   time      val_f1   val_R test_f1  test_R   abn_R   nor_R   FP   FN  ep  run
260414 061323    0.9973  0.9973  0.9953  0.9953  0.9933  0.9973    2    5  18  fresh0413_reset_v11_lr1e4_n700_s2_F0.9953_R0.9953
260414 062754    0.9987  0.9993  0.9960  0.9960  0.9973  0.9947    4    2   7  fresh0413_reset_v11_lrwarm3_n700_s42_F0.9960_R0.9960
260414 063814    1.0000  1.0000  0.9973  0.9973  0.9987  0.9960    3    1  11  fresh0413_reset_v11_lrwarm3_n700_s1_F0.9973_R0.9973
260414 065049    1.0000  1.0000  0.9960  0.9960  0.9947  0.9973    2    4  12  fresh0413_reset_v11_lrwarm3_n700_s2_F0.9960_R0.9960
260414 070405    1.0000  1.0000  0.9940  0.9940  0.9920  0.9960    3    6  16  fresh0413_reset_v11_lrwarm8_n700_s42_F0.9940_R0.9940
260414 071838    1.0000  1.0000  0.9980  0.9980  0.9987  0.9973    2    1  17  fresh0413_reset_v11_lrwarm8_n700_s1_F0.9980_R0.9980
260414 073308    1.0000  1.0000  0.9973  0.9973  0.9973  0.9973    2    2  12  fresh0413_reset_v11_lrwarm8_n700_s2_F0.9973_R0.9973
260414 074509    1.0000  1.0000  0.9987  0.9987  1.0000  0.9973    2    0   9  fresh0413_reset_v11_gc05_n700_s42_F0.9987_R0.9987
260414 075616    0.9512  0.9993  0.9552  0.9553  1.0000  0.9107   67    0   7  fresh0413_reset_v11_gc05_n700_s1_F0.9552_R0.9553
260414 080305    0.9993  0.9987  0.9920  0.9920  0.9853  0.9987    1   11  17  fresh0413_reset_v11_pc100_s42_F0.9920_R0.9920
260414 080844    0.9947  0.9947  0.9867  0.9867  0.9747  0.9987    1   19  17  fresh0413_reset_v11_pc100_s1_F0.9867_R0.9867
260414 081403    0.9980  0.9973  0.9907  0.9907  0.9827  0.9987    1   13  17  fresh0413_reset_v11_pc100_s2_F0.9907_R0.9907
260414 084940    1.0000  1.0000  0.9980  0.9980  0.9987  0.9973    2    1  14  fresh0413_reset_v11_wd000_n700_s42_F0.9980_R0.9980
260414 090359    0.9993  0.9993  0.9973  0.9973  1.0000  0.9947    4    0   7  fresh0413_reset_v11_wd000_n700_s1_F0.9973_R0.9973
